gene_seq,gene,background,signal,nprobe,signalxnprobe,cum_signal,cum_signalxnprobe,program,cum_signal_norm,cum_signal_nprobe_norm
102,ednrb,0.0017028796995824682,0.09147092960739389,1.0,0.09147092960739389,58.132688032813626,58.132688032813626,0,5.896161703558267,5.896161703558267
103,adhfe1,0.007043210063781874,0.09088064794045352,1.0,0.09088064794045352,58.22356868075408,58.22356868075408,0,5.90537935741385,5.90537935741385
104,pdlim4,0.0,0.09026604107173739,1.0,0.09026604107173739,58.31383472182581,58.31383472182581,0,5.914534674198764,5.914534674198764
105,nwd1,0.010074881301270601,0.08708066824735419,1.0,0.08708066824735419,58.400915390073166,58.400915390073166,0,5.923366911595915,5.923366911595915
106,entpd2,0.0,0.08597788127808717,1.0,0.08597788127808717,58.486893271351256,58.486893271351256,0,5.9320872978037364,5.9320872978037364
107,pbxip1,0.0,0.08248968681738661,1.0,0.08248968681738661,58.569382958168646,58.569382958168646,0,5.940453890658976,5.940453890658976
108,ai464131,0.0009968822431163297,0.08195964728832857,1.0,0.08195964728832857,58.651342605456975,58.651342605456975,0,5.9487667237642645,5.9487667237642645
109,cyp2d22,0.00047851648365375584,0.0809643365252632,1.0,0.0809643365252632,58.73230694198224,58.73230694198224,0,5.956978606553941,5.956978606553941
110,cyp4f15,0.0,0.08052290730699906,1.0,0.08052290730699906,58.81282984928924,58.81282984928924,0,5.965145716976474,5.965145716976474
111,eva1a,0.0,0.07898162733633257,1.0,0.07898162733633257,58.89181147662557,58.89181147662557,0,5.973156501651051,5.973156501651051
112,ppp1r3g,0.00021166305183803135,0.07763255567712386,1.0,0.07763255567712386,58.9694440323027,58.9694440323027,0,5.981030455483608,5.981030455483608
113,rfx4,0.0004476584612250048,0.0749249218276643,1.0,0.0749249218276643,59.04436895413036,59.04436895413036,0,5.9886297850462284,5.9886297850462284
114,aw047730,0.03505400021063996,0.07472747011066284,1.0,0.07472747011066284,59.11909642424103,59.11909642424103,0,5.99620908788565,5.99620908788565
115,chrdl1,0.0020772837133495956,0.07336879983617882,1.0,0.07336879983617882,59.19246522407721,59.19246522407721,0,6.0036505863346115,6.0036505863346115
116,kcnj10,3.310891361218245e-05,0.06744731030511422,1.0,0.06744731030511422,59.25991253438232,59.25991253438232,0,6.010491492225709,6.010491492225709
117,etnppl,0.0,0.06611240245240246,1.0,0.06611240245240246,59.32602493683473,59.32602493683473,0,6.017197003851974,6.017197003851974
118,phkg1,0.001152635390386415,0.05971300761166313,1.0,0.05971300761166313,59.38573794444639,59.38573794444639,0,6.023253450931893,6.023253450931893
119,cml5,0.0,0.05364578750166368,1.0,0.05364578750166368,59.439383731948055,59.439383731948055,0,6.028694524595062,6.028694524595062
120,arhgef19,0.0,0.04443309527692635,1.0,0.04443309527692635,59.483816827224985,59.483816827224985,0,6.033201192420133,6.033201192420133
