,x,y,leiden,QC,n_genes,normalize_total,class
5215,6493.44,12152.92,1,cell,53,3264.5698,Astrocytes
5216,7597.278261,12153.12174,7,cell,53,5034.0522,Blood vessel associated cells
5217,6467.329412,12158.14118,0,cell,53,6805.989,Inhibitory neurons 1
5218,6598.26087,12152.86957,0,cell,53,5856.043,Inhibitory neurons 1
5219,7456.877049,12154.71311,0,cell,53,10144.417,Inhibitory neurons 1
5220,7125.410256,12157.20513,0,cell,53,12800.891,Inhibitory neurons 1
5221,7497.860465,12160.0814,1,cell,53,15957.42,Astrocytes
5222,7509.269231,12155.75,1,cell,53,16664.73,Astrocytes
5223,7520.137931,12157.86897,1,cell,53,7806.2144,Astrocytes
5224,6605.064103,12157.51282,4,cell,53,5531.0127,Endothelial cells
5225,6919.335907,12161.97683,4,cell,53,5714.043,Endothelial cells
5226,7481.878453,12161.87293,1,cell,53,12643.708,Astrocytes
5227,7401.612745,12165.54902,0,cell,53,6193.961,Inhibitory neurons 1
5228,7311.303226,12161.14839,4,cell,53,3110.5676,Endothelial cells
5229,6518.888889,12162.28704,0,cell,53,5819.13,Inhibitory neurons 1
5230,6783.550725,12161.36232,0,cell,53,9810.043,Inhibitory neurons 1
5231,7177.5,12162.57813,0,cell,53,15480.5625,Inhibitory neurons 1
5232,6745.690789,12166.33553,1,cell,53,4718.415,Astrocytes
5233,7299.432432,12162.08108,1,cell,53,4376.8115,Astrocytes
5234,6594.953782,12169.60084,0,cell,53,8763.677,Inhibitory neurons 1
5235,6708.415094,12165.17925,4,cell,53,3401.7456,Endothelial cells
5236,6492.111111,12167.48889,0,cell,53,6013.433,Inhibitory neurons 1
5237,6935.060403,12169.42282,6,cell,53,8504.852,Excitatory neurons 3
5238,7117.410448,12169.40299,7,cell,53,11279.762,Blood vessel associated cells
5239,7505.45935,12174.17073,7,cell,53,30094.152,Blood vessel associated cells
5240,6678.734807,12175.04972,8,cell,53,4794.1543,Unknown
5241,7487.107143,12181.04622,7,cell,53,15007.222,Blood vessel associated cells
5242,6609.594203,12173.97101,1,cell,53,9138.225,Astrocytes
5243,7420.872642,12175.16038,0,cell,53,15772.881,Inhibitory neurons 1
5244,6534.557895,12175.02105,0,cell,53,7732.021,Inhibitory neurons 1
5245,7450.960784,12179.05882,7,cell,53,12277.086,Blood vessel associated cells
5246,7434.256983,12183.84916,1,cell,53,9852.608,Astrocytes
5247,6600.361111,12182.7037,0,cell,53,12775.694,Inhibitory neurons 1
5248,7223.867647,12179.04412,0,cell,53,10248.205,Inhibitory neurons 1
5249,7406.772871,12185.34069,7,cell,53,13061.369,Blood vessel associated cells
5250,6989.28877,12183.25134,13,cell,53,4272.8926,Pericytes
5251,6717.757813,12186.61328,0,cell,53,11105.602,Inhibitory neurons 1
5252,6901.243902,12181.07317,2,cell,53,11407.758,Mature oligodendrocytes 1
5253,6797.383648,12185.78616,0,cell,53,6396.4907,Inhibitory neurons 1
5254,7108.333333,12184.94203,0,cell,53,10095.493,Inhibitory neurons 1
5255,6467.329545,12184.26136,1,cell,53,2956.8066,Astrocytes
5256,7466.956349,12192.95238,7,cell,53,11738.338,Blood vessel associated cells
5257,6620.479624,12190.63323,0,cell,53,15573.064,Inhibitory neurons 1
5258,6420.120879,12188.54945,0,cell,53,9840.604,Inhibitory neurons 1
5259,6951.129707,12191.82845,0,cell,53,15744.092,Inhibitory neurons 1
5260,7445.66,12197.57667,7,cell,53,22492.69,Blood vessel associated cells
5261,6543.617188,12194.08594,10,cell,53,10734.9375,Mature oligodendrocytes 2
5262,7105.987013,12195.37013,11,cell,53,9845.306,Microglia
5263,6502.914894,12193.23404,2,cell,53,4337.127,Mature oligodendrocytes 1
5264,6849.791209,12195.26374,0,cell,53,7144.9014,Inhibitory neurons 1
5265,7025.683721,12196.95814,0,cell,53,12067.087,Inhibitory neurons 1
5266,7210.772277,12195.30693,4,cell,53,2292.8318,Endothelial cells
5267,6363.652695,12198.98204,0,cell,53,7437.641,Inhibitory neurons 1
5268,6805.458716,12197.72477,1,cell,53,4273.4404,Astrocytes
5269,6882.083333,12196.70833,4,cell,53,3281.4304,Endothelial cells
5270,6460.71519,12199.03797,0,cell,53,10479.86,Inhibitory neurons 1
5271,6694.49711,12200.92486,0,cell,53,8340.531,Inhibitory neurons 1
5272,6768.520833,12198.98958,4,cell,53,2284.6355,Endothelial cells
5273,7295.824818,12199.68613,6,cell,53,10442.401,Excitatory neurons 3
5274,6413.945946,12201.45045,0,cell,53,10926.621,Inhibitory neurons 1
5275,7055.79638,12204.52941,10,cell,53,17284.244,Mature oligodendrocytes 2
5276,6510.483607,12203.57377,1,cell,53,3242.049,Astrocytes
5277,7014.79085,12204.82353,4,cell,53,4032.1438,Endothelial cells
5278,6582.004484,12205.16143,0,cell,53,8797.166,Inhibitory neurons 1
5279,6711.625731,12205.24561,0,cell,53,9365.246,Inhibitory neurons 1
5280,7118.791667,12202.35417,12,cell,53,8726.021,Immature oligodendrocytes
5281,6665.615385,12204.63248,0,cell,53,7243.1455,Inhibitory neurons 1
5282,7358.575,12203.375,1,cell,53,2934.2627,Astrocytes
5283,7438.817919,12211.9104,1,cell,53,18760.375,Astrocytes
5284,6608.328125,12208.89583,6,cell,53,10203.709,Excitatory neurons 3
5285,7238.752688,12206.51613,0,cell,53,9744.795,Inhibitory neurons 1
5286,7470.117318,12208.49162,7,cell,53,7200.0283,Blood vessel associated cells
5287,7493.544304,12207.17722,7,cell,53,4512.0386,Blood vessel associated cells
5288,6543.86755,12209.40397,0,cell,53,12126.276,Inhibitory neurons 1
5289,6361.521368,12211.69231,0,cell,53,10791.452,Inhibitory neurons 1
5290,6689.172414,12214.81379,4,cell,53,3049.0967,Endothelial cells
5291,6957.021739,12215.76812,0,cell,53,13805.8125,Inhibitory neurons 1
5292,6408.515464,12214.59794,0,cell,53,14661.763,Inhibitory neurons 1
5293,7245.95977,12217.03448,8,cell,53,6819.6836,Unknown
5294,6964.364,12223.02,0,cell,53,8722.907,Inhibitory neurons 1
5295,7062.872611,12219.22293,2,cell,53,26315.045,Mature oligodendrocytes 1
5296,6389.664,12220.4,0,cell,53,7021.4805,Inhibitory neurons 1
5297,6929.880952,12219.54762,0,cell,53,14685.417,Inhibitory neurons 1
5298,7421.464286,12222.07143,0,cell,53,8795.01,Inhibitory neurons 1
5299,6493.275591,12223.29134,0,cell,53,7700.102,Inhibitory neurons 1
5300,6677.257813,12222.65625,0,cell,53,7754.7344,Inhibitory neurons 1
5301,6417.616,12225.612,0,cell,53,8659.501,Inhibitory neurons 1
5302,6913.23,12225.515,0,cell,53,15444.034,Inhibitory neurons 1
5303,7411.245763,12223.25424,0,cell,53,12412.49,Inhibitory neurons 1
5304,6748.270115,12226.87931,0,cell,53,9014.236,Inhibitory neurons 1
5305,6364.377049,12226.97541,0,cell,53,5841.861,Inhibitory neurons 1
5306,7119.559242,12229.31754,0,cell,53,22052.496,Inhibitory neurons 1
5307,6457.316667,12229.15833,1,cell,53,4684.1997,Astrocytes
5308,7023.577465,12225.88732,0,cell,53,12432.239,Inhibitory neurons 1
5309,7455.718085,12233.03191,7,cell,53,12697.983,Blood vessel associated cells
5310,7444.577778,12231.42963,1,cell,53,26236.375,Astrocytes
5311,6706.593496,12230.56098,6,cell,53,6717.1465,Excitatory neurons 3
5312,6844.6,12228.93333,0,cell,53,6450.6665,Inhibitory neurons 1
5313,6600.214286,12235.84762,1,cell,53,6419.2,Astrocytes
5314,6879.5,12233.22973,0,cell,53,6414.324,Inhibitory neurons 1
5315,7054.780899,12234.83146,0,cell,53,12062.685,Inhibitory neurons 1
5316,7067.166667,12232.83333,0,cell,53,17031.26,Inhibitory neurons 1
5317,7085.561644,12231.71233,0,cell,53,9237.138,Inhibitory neurons 1
5318,6827.593023,12232.74419,0,cell,53,7745.0234,Inhibitory neurons 1
5319,7033.055556,12237.56944,0,cell,53,14815.029,Inhibitory neurons 1
5320,6378.406977,12236.55814,0,cell,53,12854.245,Inhibitory neurons 1
5321,7201.6,12237.9,1,cell,53,5586.7554,Astrocytes
5322,7252.138122,12239.53591,1,cell,53,5344.8896,Astrocytes
5323,6634.690476,12239.53571,2,cell,53,10645.215,Mature oligodendrocytes 1
5324,7317.545455,12238.09091,1,cell,53,2304.3333,Astrocytes
5325,6450.716981,12243.14151,0,cell,53,9452.453,Inhibitory neurons 1
5326,7448.522388,12245.82587,1,cell,53,19746.396,Astrocytes
5327,6658.738095,12243.77381,0,cell,53,5032.1787,Inhibitory neurons 1
5328,6848.373832,12246.53271,0,cell,53,9134.514,Inhibitory neurons 1
5329,6545.0375,12249.23125,1,cell,53,2418.7375,Astrocytes
5330,7116.448819,12247.5748,1,cell,53,5954.0,Astrocytes
5331,6379.08046,12247.97701,0,cell,53,11977.345,Inhibitory neurons 1
5332,6710.986784,12253.17621,0,cell,53,11337.964,Inhibitory neurons 1
5333,7554.395349,12250.02326,11,cell,52,1128.5657,Microglia
5334,7004.95092,12250.47239,0,cell,53,7852.773,Inhibitory neurons 1
5335,6762.151515,12251.24242,1,cell,53,5275.5566,Astrocytes
5336,6812.288889,12250.1,0,cell,53,5264.266,Inhibitory neurons 1
5337,6359.179641,12253.53892,1,cell,53,4804.377,Astrocytes
5338,6728.5,12252.15789,2,cell,53,10700.302,Mature oligodendrocytes 1
5339,7079.791667,12254.7619,0,cell,53,10487.761,Inhibitory neurons 1
