,x,y,leiden,QC
379,5498.290323,12760.31183,6,cell
380,5409.019802,12759.23762,1,cell
381,5791.657143,12765.22857,34,cell
382,5363.942623,12766.32787,4,cell
383,5813.661654,12766.79699,23,cell
384,6009.760736,12770.99387,24,cell
385,6317.734513,12766.54867,4,cell
386,6037.450658,12774.60855,24,cell
387,5512.171875,12767.25,5,cell
388,6148.739726,12771.16895,3,cell
389,5721.342105,12769.39474,7,cell
390,5828.065934,12770.32967,16,cell
391,6123.84188,12776.43162,3,cell
392,5989.792453,12770.90566,3,cell
393,5437.912371,12777.53608,23,cell
394,5589.074627,12777.31343,9,cell
395,5814.212963,12777.31481,10,cell
396,5992.3,12778.51429,24,cell
397,6195.271739,12780.63043,7,cell
398,6143.877863,12782.06107,3,cell
399,5247.774775,12782.13514,4,cell
400,5795.990385,12781.84615,34,cell
401,6158.03125,12784.69531,3,cell
402,5968.004065,12789.65854,23,cell
403,5583.260417,12785.66667,4,cell
404,6134.157303,12786.74157,3,cell
405,5159.057143,12787.17143,4,cell
406,5324.928803,12792.44013,7,cell
407,5255.818898,12789.55906,7,cell
408,5846.09375,12790.17188,3,cell
409,5979.533333,12792.775,34,cell
410,6174.574257,12792.71287,3,cell
411,6112.272152,12793.53797,32,cell
412,5338.94,12795.13,4,cell
413,5450.122449,12796.40816,5,cell
414,6070.701333,12803.31733,24,cell
415,5187.987013,12796.58442,23,cell
416,5361.445783,12800.68675,7,cell
417,6010.98494,12803.27108,24,cell
418,5376.485944,12803.18876,4,cell
419,5233.293103,12799.9569,23,cell
420,6333.6,12800.7375,7,cell
421,5483.138122,12809.1326,7,cell
422,5585.89899,12804.12121,23,cell
423,5873.746154,12805.27692,23,cell
424,6085.41989,12807.50276,24,cell
425,5243.388889,12803.92222,23,cell
426,5443.853933,12809.00375,7,cell
427,6142.433333,12807.62222,3,cell
428,5260.294643,12811.71429,23,cell
429,5707.437908,12813.05882,13,cell
430,6043.428571,12815.17857,24,cell
431,6065.291339,12819.33465,24,cell
432,6226.0,12814.5,4,cell
433,5795.419355,12818.37419,3,cell
434,5822.788945,12820.62312,7,cell
435,6092.43956,12820.56044,24,cell
436,5877.491758,12827.54121,24,cell
437,6149.642202,12821.72477,24,cell
438,6189.276923,12820.67692,3,cell
439,5114.376238,12824.22772,6,cell
440,5485.196721,12823.65574,5,cell
441,6035.548387,12828.99194,24,cell
442,5457.107692,12828.61538,4,cell
443,5990.797386,12834.1634,24,cell
444,5135.433333,12829.67778,5,cell
445,6043.622642,12830.84906,24,cell
446,6092.5,12829.85714,24,cell
447,5156.589744,12834.01282,23,cell
448,5208.862595,12836.47328,4,cell
449,6161.871429,12835.75714,24,cell
450,5829.228346,12837.48819,4,cell
451,6105.192771,12836.36145,24,cell
452,6057.364341,12840.4186,24,cell
453,5688.704348,12843.66957,23,cell
454,6152.521739,12846.97101,24,cell
455,6179.216216,12840.45946,3,cell
456,5618.803681,12846.44172,23,cell
457,5745.107527,12845.2957,4,cell
458,6088.906977,12845.25581,24,cell
459,5576.02459,12847.68033,23,cell
